Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,B01 POST /items,5481,0,35,53.86647398283836,9.540499999275198,894.9690999997983,202.0,45.85321201597649,0.0,35,53,67,77,110,140,200,340,770,890,890
GET,B02 GET /items/{id},5483,0,24,35.252378606595066,6.296600000496255,594.323199999053,202.0,45.86994371165829,0.0,24,35,45,52,72,97,130,210,400,590,590
,Aggregated,10964,0,29,44.55772854796588,6.296600000496255,894.9690999997983,202.0,91.72315572763478,0.0,29,43,55,64,92,120,170,270,680,840,890
