Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,C01 GET /items,2849,0,15,20.186317655337795,8.518099999491824,267.8218000000925,10202.787644787644,23.93049769076947,0.0,15,19,21,24,32,42,65,96,240,270,270
GET,C02 GET /items/{id},1196,0,13,17.412800334469743,6.437099998947815,269.37480000015057,207.54598662207357,10.045937254531514,0.0,13,15,18,20,28,40,63,130,270,270,270
POST,C03 POST /items,1128,0,18,25.02992828013664,9.55690000046161,295.2074000004359,202.0,9.47476356447454,0.0,18,22,26,28,38,54,110,170,250,300,300
PUT,C04 PUT /items/{id},622,0,19,25.49014035370144,10.52970000091591,341.70560000166006,217.0,5.224559341403514,0.0,19,24,28,30,43,55,70,92,340,340,340
,Aggregated,5795,0,16,21.12599734255041,6.437099998947815,341.70560000166006,5121.4490077653145,48.675757851179036,0.0,16,19,22,25,34,47,70,120,250,340,340
