Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /items,1174,0,13,13.825447955707912,7.670700000744546,72.32229999954143,1414.0,9.79979610124887,0.0,13,14,15,16,18,21,30,35,58,72,72
,Aggregated,1174,0,13,13.825447955707912,7.670700000744546,72.32229999954143,1414.0,9.79979610124887,0.0,13,14,15,16,18,21,30,35,58,72,72
