Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,B01 POST /items,7114,0,360,375.37149434917654,119.51769999905082,1360.515899999882,202.0,59.45218358211742,0.0,360,400,430,450,510,560,690,860,1200,1400,1400
GET,B02 GET /items/{id},7108,0,280,299.9072549521712,80.09349999883852,1201.955700000326,202.0,59.40204117257388,0.0,280,320,350,370,420,480,570,680,980,1200,1200
,Aggregated,14222,0,320,337.6552931373961,80.09349999883852,1360.515899999882,202.0,118.8542247546913,0.0,320,370,400,420,480,530,640,790,1200,1300,1400
