Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,C01 GET /items,5271,0,76,121.80827713905029,8.478400000967667,1503.374600000825,10185.16733067729,44.26302671325227,0.0,76,110,140,160,270,380,670,870,1200,1500,1500
GET,C02 GET /items/{id},2049,0,65,111.81457989263133,6.583299998965231,1256.035600001269,206.81454367984384,17.206401391662663,0.0,65,97,120,140,250,370,680,860,1100,1300,1300
POST,C03 POST /items,2183,0,100,154.7790977553674,9.699000000182423,1412.5541000012163,202.0,18.331661414348265,0.0,100,140,180,210,350,470,850,960,1200,1400,1400
PUT,C04 PUT /items/{id},1013,0,110,164.77476169797225,10.79810000010184,1601.5656999989005,217.0,8.506629872988912,0.0,110,160,190,220,350,500,850,1100,1300,1600,1600
,Aggregated,10516,0,81,130.84434262076357,6.583299998965231,1601.5656999989005,5208.30800684671,88.30771939225211,0.0,81,120,150,170,290,420,740,910,1200,1500,1600
