Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /items,11325,0,32,59.12080204856774,7.267100000717619,1142.2727999997733,1414.0,94.61033027448428,0.0,32,47,59,69,110,190,360,620,1100,1100,1100
,Aggregated,11325,0,32,59.12080204856774,7.267100000717619,1142.2727999997733,1414.0,94.61033027448428,0.0,32,47,59,69,110,190,360,620,1100,1100,1100
