Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,C01 GET /items,576,0,15,15.076944097201148,8.846499998981017,57.36140000044543,10263.435763888889,4.841271056717414,0.0,15,16,16,17,19,23,27,30,57,57,57
GET,C02 GET /items/{id},230,0,12,12.679118260862394,6.700699999782955,56.00150000100257,207.2608695652174,1.9331464288975784,0.0,12,13,14,14,17,18,25,30,56,56,56
POST,C03 POST /items,239,0,18,20.249601255219588,10.013799999796902,43.28659999919182,202.0,2.008791289158788,0.0,18,24,27,28,29,30,33,34,43,43,43
PUT,C04 PUT /items/{id},111,0,19,23.195506306266807,11.205000000700238,81.772200001069,217.0,0.9329532765549182,0.0,19,25,28,29,31,33,64,75,82,82,82
,Aggregated,1156,0,15,16.44885198960148,6.700699999782955,81.772200001069,5217.7975778546715,9.716162051328698,0.0,15,16,18,19,26,29,31,34,75,82,82
